ID;DD;MM;ZZ;PP;DEPTO;MUNICIPIO;NOMBRE_PUESTO;MUJERES;HOMBRES;TOTAL;MESAS;COD.COM;COMUNA/LOCALIDAD;DIRECCION
2531;15;235;0;1;CUNDINAMARCA;SASAIMA;AUDITORIO MUNICIPAL;658;714;1.372;2;;ESPECIAL: AUDITORIO MUNICIPAL;CTRO AUDITORIO MUNICIPAL CRA 4 No 8A-96
561;1;166;1;6;ANTIOQUIA;LA ESTRELLA;AULA AMBIENTAL;186;203;389;1;;ESPECIAL: AULA AMBIENTAL;CALLE 77 SUR No. 52D-120
2403;15;100;0;2;CUNDINAMARCA;GACHANCIPA;AULA MULTIPLE COLEGIO SEDE CIUDADELA;456;473;929;2;;ESPECIAL: AULA MULTIPLE COLEGIO SEDE CIUDADELA;CRA 5 No 2 46 ASIVAG
3449;16;1;17;7;BOGOTA. D.C.;BOGOTA. D.C.;AUTONOMA DE COLOMBIA;217;194;411;1;17;LOCALIDAD 17 CANDELARIA;CLL 12B No 4-31
1805;11;55;99;5;CAUCA;PAEZ (BELALCAZAR);AVIRAMA;201;206;407;1;;ESPECIAL: AVIRAMA;I.E SAN MIGUEL DE AVIRAMA
1986;12;600;99;20;CESAR;LA GLORIA;AYACUCHO;202;200;402;1;;ESPECIAL: AYACUCHO;INSTITUCION EDUCATIVA EN AYACUCHO
5776;31;79;99;50;VALLE;PALMIRA;AYACUCHO (LA BUITRERA);275;293;568;1;14;COMUNA 14;INST. EDUC. FRANCISCO MIRANDA
1928;12;1;99;69;CESAR;VALLEDUPAR;AZUCAR BUENA;231;206;437;1;25;AZUCAR BUENA;INST EDUCATIVA LA VIRGEN DEL CARMEN
3155;16;1;10;30;BOGOTA. D.C.;BOGOTA. D.C.;BACHUE;2.136;2.234;4.370;7;10;LOCALIDAD 10 ENGATIVA;CLL. 90 A # 95 D - 56
3157;16;1;10;32;BOGOTA. D.C.;BOGOTA. D.C.;BACHUE II - BOCHICA I;313;340;653;1;10;LOCALIDAD 10 ENGATIVA;CLL. 83 # 95 D - 04
6137;48;16;99;10;LA GUAJIRA;URIBIA;BAHIA HONDA;392;299;691;1;;ESPECIAL: BAHIA HONDA;FRENTE ESCUELA RURAL
3985;21;46;99;1;MAGDALENA;PEDRAZA;BAHIAHONDA;268;249;517;1;;ESPECIAL: BAHIAHONDA;I.E. AGROPECUARIA JOSE DADUL
2194;13;37;99;5;CORDOBA;SAHAGUN;BAJO GRANDE;189;189;378;1;;ESPECIAL: BAJO GRANDE;IE BAJO GRANDE
2154;13;27;99;1;CORDOBA;MOÑITOS;BAJO LIMON;178;211;389;1;;ESPECIAL: BAJO LIMON;I.E NUESTRA SEÑORA DEL CARMEN
4226;23;127;99;3;NARIÑO;SANTACRUZ (GUACHAVES);BALALAIKA;38;49;87;1;;ESPECIAL: BALALAIKA;COL. NUESTRA SEÑORA DE LOURDES
3702;17;48;99;5;CHOCO;UNGUIA;BALBOA;100;79;179;1;;ESPECIAL: BALBOA;INST EDUC DE DESARROLLO DE BALBOA SEDE PRINCIPAL
1315;5;121;99;1;BOLIVAR;TURBANA;BALLESTAS;190;175;365;1;;ESPECIAL: BALLESTAS;IE DE BALLESTAS PLAZA PPAL
3551;16;1;19;53;BOGOTA. D.C.;BOGOTA. D.C.;BALMORAL;492;518;1.010;2;19;LOCALIDAD 19 CIUDAD BOLIVAR;CRA 70 C #60 B.05 SUR/ AV. CRA 70 C # 60 B-05 SUR
4653;26;10;99;10;QUINDIO;CALARCA;BARCELONA;599;586;1.185;2;1;CORREGIMIENTO BARCELONA;Calle 11 Cra 10 esquina
1235;5;28;99;5;BOLIVAR;MAGANGUE;BARRANCA DE YUCA;265;326;591;1;7;CORREGIMIENTO BARRANCA DE YUCA;CORREGIMIENTO BARRANCA YUCA
6160;50;1;99;8;GUAINIA;INIRIDA;BARRANCO TIGRE (YURI);15;10;25;1;;ESPECIAL: BARRANCO TIGRE (YURI);IE ANDRES BELLO COMUNIDAD DE YURI
1169;5;1;99;2;BOLIVAR;CARTAGENA;BARU;405;448;853;2;1;LOC. 1 HISTORICA Y DEL CARIBE;I.E. LUIS FELIPE CABRERA DE BARU
2431;15;109;99;1;CUNDINAMARCA;GIRARDOT;BARZALOSA Y PIAMONTE;351;355;706;2;6;CORREGIMIENTO 1 BARZALOSA;ESCUELA PIAMONTE KM 7 VIA TOCAIMA
3651;17;19;99;3;CHOCO;ISTMINA;BASURU;48;42;90;1;;ESPECIAL: BASURU;ESCUELA RURAL MIXTA
2247;13;58;99;12;CORDOBA;TIERRALTA;BATATA;204;188;392;1;;ESPECIAL: BATATA;INSTITUCION EDUCATIVA BATATA
3096;16;1;9;12;BOGOTA. D.C.;BOGOTA. D.C.;BATAVIA;219;224;443;1;9;LOCALIDAD 9 FONTIBON;CRA 114 # 17 C - 07
1175;5;1;99;33;BOLIVAR;CARTAGENA;BAYUNCA;723;612;1.335;2;2;LOC. 2 LA VIRGEN Y TURISTICA;I.E.BAYUNCA CARRET
1181;5;1;99;74;BOLIVAR;CARTAGENA;BAYUNCA 2 (SEDE LAS LATAS)Â;581;535;1.116;2;2;LOC. 2 LA VIRGEN Y TURISTICA;CARRETERA LA CORDIALIDAD BAYUNCAÂ
3663;17;27;99;3;CHOCO;MEDIO SAN JUAN;BEBEDO;37;37;74;1;;ESPECIAL: BEBEDO;I.E. MANUEL E.RIVAS LOBON
3800;19;49;99;1;HUILA;LA PLATA;BELEN;290;246;536;1;;ESPECIAL: BELEN;IE VILLA DE LOS ANDES
5118;28;200;99;16;SUCRE;SAN MARCOS;BELEN;319;336;655;1;;ESPECIAL: BELEN;C.E Belen
3088;16;1;9;4;BOGOTA. D.C.;BOGOTA. D.C.;BELEN;1.557;1.569;3.126;5;9;LOCALIDAD 9 FONTIBON;CRA 106 # 18 - 77
3966;21;25;99;11;MAGDALENA;EL BANCO;BELEN;294;279;573;1;7;CORREGIMIENTO 4 BELEN;IED ANAXIMENES TORRES OSPINO
3628;17;10;99;5;CHOCO;BAJO BAUDO (PIZARRO);BELEN DE DOCAMPADO;156;181;337;1;;ESPECIAL: BELEN DE DOCAMPADO;I.E. AGR HERNANDO PALACIOS
3545;16;1;19;47;BOGOTA. D.C.;BOGOTA. D.C.;BELLA FLOR;663;601;1.264;2;19;LOCALIDAD 19 CIUDAD BOLIVAR;DG 74B Bis A Sur# 26C-12 -KR 27# 74B - 51 Sur
3957;21;20;99;10;MAGDALENA;CONCORDIA;BELLAVISTA;188;231;419;1;;ESPECIAL: BELLAVISTA;Inst.Ed.L. M Caballero
3619;17;6;99;40;CHOCO;ALTO BAUDO (PIE DE PATO);BELLAVISTA (DUBAZA);47;57;104;1;;ESPECIAL: BELLAVISTA (DUBAZA);ESCUELA RURAL MIXTA DE BELLAVISTA
2798;16;1;4;15;BOGOTA. D.C.;BOGOTA. D.C.;BELLAVISTA SAN CRISTOBAL;576;583;1.159;2;4;LOCALIDAD 4 SAN CRISTOBAL;CRA 9 ESTE # 36 G -80 SUR
2794;16;1;4;11;BOGOTA. D.C.;BOGOTA. D.C.;BELLO HORIZONTE;598;613;1.211;2;4;LOCALIDAD 4 SAN CRISTOBAL;CLL 31D BIS SUR # 2 - 24 ESTE o 2 - 25 ESTE
3321;16;1;12;20;BOGOTA. D.C.;BOGOTA. D.C.;BENJAMIN HERRERA;293;309;602;1;12;LOCALIDAD 12 BARRIOS UNIDOS;CRA 28 # 63 - 64
2103;13;13;99;1;CORDOBA;CIENAGA DE ORO;BERASTEGUI;252;217;469;1;;ESPECIAL: BERASTEGUI;I.E S.F/CISCO DE ASIS CGTO BER
5047;27;211;99;1;SANTANDER;TONA;BERLIN;225;209;434;1;;ESPECIAL: BERLIN;COL LUZ DE LA ESPERANZA SEDE B
5127;28;220;99;27;SUCRE;SAN ONOFRE;BERRUGAS;457;426;883;2;;ESPECIAL: BERRUGAS;I.E. BERRUGAS
2166;13;31;99;4;CORDOBA;PUEBLO NUEVO;BETANIA;213;233;446;1;;ESPECIAL: BETANIA;ESC NVA BETANIA PLAZA P/PAL
3570;16;1;20;3;BOGOTA. D.C.;BOGOTA. D.C.;BETANIA;98;96;194;1;20;LOCALIDAD 20 SUMAPAZ;CENTRO POBLADO CORREGIMIENTO DE BETANIA
2750;16;1;2;20;BOGOTA. D.C.;BOGOTA. D.C.;BETHLEMITAS-CALLE 65;1.033;917;1.950;3;2;LOCALIDAD 2 CHAPINERO;CRA 5 No 65-55
5894;40;5;99;2;ARAUCA;TAME;BETOYES;281;292;573;1;;ESPECIAL: BETOYES;I.E. AGUSTIN NIETO CABALLERO
332;1;49;8;3;ANTIOQUIA;BELLO;BETSABE ESPINAL;669;627;1.296;2;8;COMUNA 8 NIQUIA;AV 33 NRO 59 33 BR TERRANOVA
3263;16;1;11;62;BOGOTA. D.C.;BOGOTA. D.C.;BIBLIOTECA JULIO MARIO SANTODOMINGO;937;1.060;1.997;3;11;LOCALIDAD 11 SUBA;AV CLL 170 # 67- 51
645;1;218;2;3;ANTIOQUIA;SABANETA;BIBLIOTECA MUNICIPAL;715;895;1.610;3;;ESPECIAL: BIBLIOTECA MUNICIPAL;CLL 75 SUR No 45-47
1588;9;7;1;1;CALDAS;ANSERMA;BIBLIOTECA MUNICIPAL;1.461;1.542;3.003;5;;ESPECIAL: BIBLIOTECA MUNICIPAL;KR 4 #11-39
2588;15;247;4;7;CUNDINAMARCA;SOACHA;BIBLIOTECA MUNICIPAL LA ISLA;172;164;336;1;4;COMUNA 4;CALLE 40 C No 33 C 21 E
3351;16;1;13;24;BOGOTA. D.C.;BOGOTA. D.C.;BIBLIOTECA VIRGILIO BARCO;827;906;1.733;3;13;LOCALIDAD 13 TEUSAQUILLO;AV CRA. 60 No. 57 - 60
2982;16;1;7;71;BOGOTA. D.C.;BOGOTA. D.C.;BICENTENARIO DE LA INDEPENDENCIA;759;791;1.550;3;7;LOCALIDAD 7 BOSA;CLL 81 SUR No 81 - 75
5319;29;89;99;30;TOLIMA;PLANADAS;BILBAO;220;244;464;1;1;CORREGIMIENTO BILBAO;I.E.BILBAO SEDE PRINCIPAL
2475;15;160;2;6;CUNDINAMARCA;MADRID;BLOQUE 2 - COLEGIO TECNOLOGICO;1.015;972;1.987;3;;ESPECIAL: BLOQUE 2 - COLEGIO TECNOLOGICO;CARRERA 21 No. 4 - 31 SUR
3652;17;19;99;5;CHOCO;ISTMINA;BOCA DE LUIS;11;10;21;1;;ESPECIAL: BOCA DE LUIS;ESCUELA RURAL MIXTA
1871;11;91;99;2;CAUCA;TIMBIQUI;BOCA DE PATIA;31;18;49;1;;ESPECIAL: BOCA DE PATIA;ESCUELA BOCA DE PATIA
1170;5;1;99;3;BOLIVAR;CARTAGENA;BOCACHICA;671;737;1.408;3;1;LOC. 1 HISTORICA Y DEL CARIBE;I.E.DOMINGO BENKOS
6054;46;865;99;15;CASANARE;TRINIDAD;BOCAS DEL PAUTO;16;30;46;1;;ESPECIAL: BOCAS DEL PAUTO;INS.E.RURAL RAFAEL GARCIA HERREROS
3137;16;1;10;12;BOGOTA. D.C.;BOGOTA. D.C.;BOCHICA;1.609;1.490;3.099;5;10;LOCALIDAD 10 ENGATIVA;TRANSV 100 A No. 80 A - 20 - AV CLL 80 No 100 - 50
2397;15;94;99;36;CUNDINAMARCA;FUSAGASUGA;BOCHICA (LA TRINIDAD);318;405;723;2;10;CORREGIMIENTO SUR ORIENTAL;ESCUELA LA TRINIDAD CORREGIMIENTO SUR ORIENTAL
3020;16;1;8;41;BOGOTA. D.C.;BOGOTA. D.C.;BOITA;642;654;1.296;2;8;LOCALIDAD 8 KENNEDY;CLL 48 B # 72 K - 13 SUR
3636;17;11;99;1;CHOCO;BOJAYA (BELLAVISTA);BOJAYA O LA LOMA;142;164;306;1;;ESPECIAL: BOJAYA O LA LOMA;INST. EDU. LA LOMA
4214;23;118;99;1;NARIÑO;SANDONA;BOLIVAR;99;116;215;1;;ESPECIAL: BOLIVAR;I. E. JESUS DE PRAGA
1632;9;85;99;5;CALDAS;PENSILVANIA;BOLIVIA;112;106;218;1;;ESPECIAL: BOLIVIA;COL. JHON F. KENNEDY
